country_code,country,sex_code,sex,year,value,lower_bound,upper_bound,status,note,updated_at
SWE,Sweden,SEX_FMLE,female,2000,43.2,33.7,52.7,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_FMLE,female,2005,34.3,27.2,41.3,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_FMLE,female,2007,31.4,25.0,37.7,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_FMLE,female,2010,27.5,22.7,32.3,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_FMLE,female,2015,21.9,17.9,25.9,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_FMLE,female,2020,17.6,14.4,20.7,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_FMLE,female,2022,16.0,13.0,19.0,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_FMLE,female,2023,15.3,12.3,18.3,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_FMLE,female,2024,14.6,11.8,17.5,projected,The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_FMLE,female,2025,13.9,11.5,16.4,projected,The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_MLE,male,2000,55.8,43.4,68.3,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_MLE,male,2005,47.4,38.6,56.2,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_MLE,male,2007,44.8,36.2,53.4,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_MLE,male,2010,40.3,32.4,48.2,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_MLE,male,2015,34.4,27.5,41.4,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_MLE,male,2020,29.3,23.7,35.0,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_MLE,male,2022,27.5,22.6,32.4,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_MLE,male,2023,26.8,21.3,32.2,modelled_estimate,,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_MLE,male,2024,25.9,20.9,30.9,projected,The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
SWE,Sweden,SEX_MLE,male,2025,25.0,19.5,30.5,projected,The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
